"C1T1_r1","C1T1_r10","C1T1_r2","C1T1_r3","C1T1_r4","C1T1_r5","C1T1_r6","C1T1_r7","C1T1_r8","C1T1_r9","C1T2_r1","C1T2_r10","C1T2_r2","C1T2_r3","C1T2_r4","C1T2_r5","C1T2_r6","C1T2_r7","C1T2_r8","C1T2_r9","C1T3_r1","C1T3_r10","C1T3_r2","C1T3_r3","C1T3_r4","C1T3_r5","C1T3_r6","C1T3_r7","C1T3_r8","C1T3_r9","C1T4_r1","C1T4_r10","C1T4_r2","C1T4_r3","C1T4_r4","C1T4_r5","C1T4_r6","C1T4_r7","C1T4_r8","C1T4_r9","C1T5_r1","C1T5_r10","C1T5_r2","C1T5_r3","C1T5_r4","C1T5_r5","C1T5_r6","C1T5_r7","C1T5_r8","C1T5_r9","C1T6_r1","C1T6_r10","C1T6_r2","C1T6_r3","C1T6_r4","C1T6_r5","C1T6_r6","C1T6_r7","C1T6_r8","C1T6_r9","C2T1_r1","C2T1_r10","C2T1_r2","C2T1_r3","C2T1_r4","C2T1_r5","C2T1_r6","C2T1_r7","C2T1_r8","C2T1_r9","C2T2_r1","C2T2_r10","C2T2_r2","C2T2_r3","C2T2_r4","C2T2_r5","C2T2_r6","C2T2_r7","C2T2_r8","C2T2_r9","C2T3_r1","C2T3_r10","C2T3_r2","C2T3_r3","C2T3_r4","C2T3_r5","C2T3_r6","C2T3_r7","C2T3_r8","C2T3_r9","C2T4_r1","C2T4_r10","C2T4_r2","C2T4_r3","C2T4_r4","C2T4_r5","C2T4_r6","C2T4_r7","C2T4_r8","C2T4_r9","C2T5_r1","C2T5_r10","C2T5_r2","C2T5_r3","C2T5_r4","C2T5_r5","C2T5_r6","C2T5_r7","C2T5_r8","C2T5_r9","C2T6_r1","C2T6_r10","C2T6_r2","C2T6_r3","C2T6_r4","C2T6_r5","C2T6_r6","C2T6_r7","C2T6_r8","C2T6_r9"
0,0,77,0,0,0,0,0,0,0,0,84,168,0,0,0,0,0,0,96,172,148,268,132,0,0,96,0,124,0,438,138,249,0,174,120,387,234,201,192,402,86,342,246,348,236,644,476,292,554,76,390,183,370,158,197,443,957,159,607,0,0,14,0,0,0,0,0,11,0,0,0,12,0,10,0,0,0,9,10,0,0,8,0,10,11,0,0,0,0,0,0,0,0,18,9,0,0,14,0,0,0,14,0,12,0,0,0,9,0,0,0,0,12,13,0,0,0,15,0
0,0,0,0,0,63,0,63,77,0,0,0,108,60,114,0,0,0,72,0,0,0,112,40,160,80,236,0,112,124,0,261,186,0,279,213,210,0,0,180,186,548,300,0,298,338,376,170,66,256,119,285,282,138,374,542,830,160,75,370,0,0,0,8,0,12,0,11,0,0,0,5,11,0,0,0,0,11,9,0,0,0,0,10,0,7,0,0,0,0,14,0,9,0,0,12,0,9,0,0,0,0,7,0,9,0,0,0,8,0,0,0,0,0,14,0,9,10,11,0
0,42,0,0,0,0,42,0,84,0,0,0,144,0,0,0,78,0,114,126,0,0,140,0,0,64,208,180,236,196,0,0,177,186,192,174,336,201,408,237,0,256,316,420,312,218,452,288,852,294,30,167,463,689,338,368,632,113,139,172,0,8,0,17,0,7,0,0,11,0,0,4,7,0,0,10,0,0,7,0,0,0,0,18,0,3,0,0,10,0,0,9,13,11,10,0,0,0,14,0,0,7,0,0,0,9,10,0,0,7,0,6,0,0,0,10,0,0,0,9
0,63,0,0,0,0,0,0,0,77,0,180,0,0,0,0,0,108,108,144,104,148,88,0,0,156,0,0,0,208,66,246,309,123,204,177,0,87,0,267,302,530,424,234,364,494,156,468,212,324,590,400,347,312,368,336,213,239,448,98,0,0,16,0,0,13,0,0,4,0,0,0,11,0,0,11,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,6,9,0,0,0,0,0,13,0,0,11,13,0,0,0,0,0,0,11,0,15,9
0,0,0,98,0,0,0,0,0,49,108,0,0,150,102,0,90,78,0,102,0,0,240,196,184,0,200,248,176,124,0,0,279,183,387,120,183,321,183,219,180,452,196,330,496,150,532,806,448,276,314,365,122,178,644,438,338,1399,312,243,0,0,0,10,11,0,0,10,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,9,13,0,0,0,0,0,0,0,16,0,0,0,0,0,12,0,0,8,16,0,0,0,0,0,0,0,8,0,4,10,0,0,0,0,0,0
63,0,0,126,0,0,0,70,0,0,0,138,126,126,0,0,0,102,90,0,104,240,164,248,0,0,0,176,176,140,312,297,240,405,207,180,147,270,396,177,308,232,510,1238,186,358,270,564,712,432,312,152,290,1260,585,310,244,435,727,46,11,0,8,0,0,0,0,0,0,8,13,0,0,9,0,0,0,0,3,12,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,10,10,0,0,0,8,0,0,0,0,14,0,0
0,0,0,0,42,0,91,0,0,0,0,0,90,0,120,150,66,96,126,210,0,0,220,212,144,204,188,0,96,188,0,189,282,333,180,273,0,222,219,255,0,310,308,218,314,182,0,0,172,258,20,419,228,442,121,139,31,50,214,206,0,0,0,0,0,7,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,5,10,0,10,0,0,0,0,0,0,0,0,0,8,11,5,0,0,0,5,11,4,0,15,9,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,90,126,0,0,120,0,0,0,0,0,0,212,0,0,0,0,0,92,0,0,0,201,192,192,0,135,0,318,0,0,144,530,262,214,198,364,200,336,292,128,180,256,548,482,293,479,159,241,44,282,0,9,11,16,10,0,0,0,0,11,0,0,10,18,11,0,0,0,16,0,11,0,13,11,0,0,0,8,13,9,10,0,20,0,0,0,0,0,11,9,11,0,8,11,0,0,0,0,11,0,10,4,0,9,0,0,0,7,16,0
0,0,0,0,0,0,77,0,0,0,0,0,0,90,78,102,132,96,0,0,0,132,0,184,0,140,292,176,0,132,237,177,165,276,0,0,0,222,0,471,136,242,230,340,166,162,122,278,284,930,101,699,182,723,560,116,319,667,214,1075,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,8,8,0,0,0,0,18,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0
0,0,56,133,0,63,0,0,0,0,0,0,180,126,0,132,0,120,0,0,76,64,84,0,0,252,144,0,0,0,0,168,219,303,180,300,141,0,105,138,208,0,272,346,272,174,124,0,320,208,351,154,225,32,129,280,341,16,148,229,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,9,0,0,0,0,8,9,0,7,0,0,5,0,0,0
